repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,comparison_mi_change_percent
freqtrade/freqtrade,49807,9.0,5,Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 63819fa: 'copilot',1000,666,1459.2452540288377,111.0,19.8,1.0999999999999999,137.119,68.19344113929363,68.6540545999633,25.95678427295483,1000,183,937.7204344315247,30.5,25.900000000000002,0.5,217.485,66.26123434042236,63.028946284839655,25.057927136195932,-2.8334202917322937
pandas-dev/pandas,48653,15.7,3,Co-autoria detectada no commit b00d4f6: 'claude',1000,7355,17606.281172031282,1225.8333333333333,32.6,1.0999999999999999,81.56,50.2212855120898,48.86787537014119,30.04267116865428,1000,1165,21437.05211296772,194.16666666666666,39.7,0.4,177.258,49.72488707068772,47.54440462653251,30.27646391646011,-0.988422411613857
streamlit/streamlit,44438,6.7,13,Arquivo detectado: .cursor; Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 158738f: 'claude',314,1023,11276.46109089311,170.5,34.394904458598724,0.0,216.30573248407643,83.65775473067654,90.7832558912739,18.978678087860366,1000,729,8455.41678100264,121.5,65.9,3.0,274.452,80.79102746847218,87.78921905485511,21.42608533495038,-3.426732251461156
apache/airflow,45280,11.1,8,Arquivo detectado: .claude; Co-autoria detectada no commit 4a9b5a0: 'claude'; Co-autoria detectada no commit 4082687: 'copilot',1000,2039,6596.960037684138,339.8333333333333,38.800000000000004,1.0999999999999999,116.609,86.19077000928526,100.0,20.579278356032983,1000,2327,3304.3436167987666,387.8333333333333,47.599999999999994,2.1,320.459,78.77482869649675,83.98407217934735,23.741747019779776,-8.604101473962457
mitmproxy/mitmproxy,43387,16.2,6,Co-autoria detectada no commit d482bba: 'claude'; Co-autoria detectada no commit a9c3daf: 'copilot',249,414,9295.707398041104,69.0,32.53012048192771,0.8032128514056224,861.4939759036145,59.24628928686496,56.091144582187944,25.511283947580484,91,99,5108.112425925927,16.5,74.72527472527473,2.197802197802198,169.6043956043956,58.27020027962186,55.70587249478697,25.13486154948836,-1.6475107875819288
python/cpython,72575,9.2,3,Co-autoria detectada no commit 7acee98: 'claude',1000,57942,10218.339250067072,9657.0,33.4,1.7999999999999998,256.921,58.34742736229935,58.378761970511704,29.147581211934924,1000,3465,9216.163950444132,577.5,32.1,1.7999999999999998,220.091,57.08425667461518,57.006343308435845,30.156614278843506,-2.1649123959497008
getsentry/sentry,43770,15.7,11,Arquivo detectado: .cursor; Arquivo detectado: .claude; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 7f41cc5: 'claude',1000,496,18271.205534979425,82.66666666666667,38.9,1.9,154.751,72.20541096101923,68.52307433385658,24.20332736965833,1000,1777,5761.227298218029,296.1666666666667,48.8,2.6,208.892,68.45141843817771,64.36053324294122,25.036324524957447,-5.199045989597847
deepspeedai/DeepSpeed,42261,6.3,6,Co-autoria detectada no commit 4e668fc: 'copilot'; Co-autoria detectada no commit 956ec6f: 'claude',212,388,10862.338396852483,64.66666666666667,35.37735849056604,4.245283018867925,325.5566037735849,59.011217490682014,55.47179908333898,29.755922931602292,161,147,1935.4236965811965,24.5,62.11180124223602,0.6211180124223602,134.22360248447205,71.94434299586834,73.56554848517092,26.631866074806577,21.91638480807228
mingrammer/diagrams,42239,6.3,3,Co-autoria detectada no commit 052da89: 'copilot',16,122,7671.463289141413,20.333333333333332,18.75,0.0,388.625,99.20674878398239,100.0,6.705920853327114,9,10,12773.591018518518,1.6666666666666667,44.44444444444444,11.11111111111111,104.0,99.06909135427543,100.0,6.938190385452599,-0.1387581302625937
pytorch/pytorch,99610,9.7,9,Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 403b695: 'claude',1000,6624,11074.938963840596,1104.0,94.1,6.6000000000000005,256.108,61.6752816577768,59.31974762077046,23.49321693942919,1000,6042,4321.979724028767,1007.0,89.9,16.0,192.516,58.386945403211286,57.08677039462231,28.332943351979043,-5.331692318507441
