"repository","owner","stars","age_years","age_group","ai_score","ai_score_group","stars_group","has_detected_file","has_coauthorship","mentions_copilot","mentions_claude","pre_commits","pre_issues","pre_avg_mi","pos_commits","pos_issues","pos_avg_mi","comparison_mi_change_percent","ai_validation_reason"
"sshuttle/sshuttle","sshuttle","13307","11.6","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","49","74","54.2905264277687","48","11","49.0362896233118","-9.67799936780397","Co-autoria detectada no commit 514847e: 'claude'"
"plasma-umass/scalene","plasma-umass","13406","6.4","Menos de 8 anos","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","528","64","66.9120876814332","178","41","63.5059327771512","-5.09049264835171","Co-autoria detectada no commit 7a515ff: 'claude'; Co-autoria detectada no commit 021e9ee: 'copilot'"
"DLR-RM/stable-baselines3","DLR-RM","13208","6","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","51","235","63.5169454297118","17","35","62.6961170758087","-1.29229821797929","Co-autoria detectada no commit 088f8f5: 'copilot'"
"dbcli/pgcli","dbcli","13145","11.6","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","5","150","59.284201689257","21","20","60.6593455551017","2.3195789546979","Co-autoria detectada no commit d935d2d: 'copilot'"
"python-pillow/Pillow","python-pillow","13553","13.8","12 anos ou mais","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","610","528","62.7526934510088","529","86","58.1740476044002","-7.29633358316825","Co-autoria detectada no commit d2b2010: 'copilot'"
"pypa/pipx","pypa","12778","7.6","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","16","141","65.2420231518446","85","115","58.6453053399321","-10.1111484488445","Co-autoria detectada no commit df716f9: 'copilot'"
"Kludex/starlette","Kludex","12279","7.9","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","54","194","57.6927224417739","67","20","52.4742210987391","-9.04533730108078","Co-autoria detectada no commit 0a29b5c: 'copilot'"
"icloud-photos-downloader/icloud_photos_downloader","icloud-photos-downloader","11910","10","8 a 11,9 anos","5","Medio (4-6)","Menos de 15 mil","True","True","False","True","27","63","79.6642498027289","1","50","69.3861679123599","-12.901749424391","Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 52e1fcd: 'claude'"
"apache/tvm","apache","13328","9.6","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","1000","399","72.7726546815166","505","159","77.8427982008466","6.96709985573433","Co-autoria detectada no commit 1b94055: 'claude'"
"secdev/scapy","secdev","12263","10.6","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","122","161","55.726579469013","72","48","53.3480903486935","-4.26814124064807","Co-autoria detectada no commit 5b81ba1: 'copilot'"
"dbt-labs/dbt-core","dbt-labs","12719","10.2","8 a 11,9 anos","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","512","891","58.1041339826421","252","659","64.8986533119054","11.6936934836566","Co-autoria detectada no commit 13d51b7: 'copilot'; Co-autoria detectada no commit 9467792: 'claude'"
"ludwig-ai/ludwig","ludwig-ai","11685","7.4","Menos de 8 anos","2","Baixo (2-3)","Menos de 15 mil","True","False","False","False","152","196","73.0310655564241","178","52","67.1060303171934","-8.1130340822605","Arquivo detectado: .vscode/settings.json"
"kornia/kornia","kornia","11193","7.7","Menos de 8 anos","10","Alto (7+)","Menos de 15 mil","True","True","True","True","263","185","60.8584026468262","178","363","73.836488691937","21.3250520563697","Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 915b6b4: 'claude'; Co-autoria detectada no commit 6f03716: 'copilot'"
"great-expectations/great_expectations","great-expectations","11458","8.7","8 a 11,9 anos","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","560","365","59.9637283051139","240","74","72.6409460421741","21.1414768483952","Co-autoria detectada no commit eaccf46: 'claude'; Co-autoria detectada no commit f712566: 'copilot'"
"speechbrain/speechbrain","speechbrain","11511","6","Menos de 8 anos","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","1000","285","56.2967800915539","34","25","55.2723344379229","-1.81972335178839","Co-autoria detectada no commit aca5e41: 'copilot'; Co-autoria detectada no commit ba4f674: 'claude'"
"simonw/datasette","simonw","11025","8.5","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","184","256","54.5669136058144","121","66","54.4295200941737","-0.25178904680809","Co-autoria detectada no commit b3001c1: 'claude'"
"kedro-org/kedro","kedro-org","10863","7.1","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","303","182","76.4069588307989","122","249","71.5985102329297","-6.29320767564817","Co-autoria detectada no commit c97c452: 'copilot'"
"cupy/cupy","cupy","10925","9.5","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","1000","458","65.117577989556","744","209","60.8956097782108","-6.48360756295682","Co-autoria detectada no commit e24f020: 'claude'"
"numba/numba","numba","11012","14.2","12 anos ou mais","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","1000","912","54.3192615051871","495","164","53.7322513918325","-1.08066659429542","Co-autoria detectada no commit 2169737: 'copilot'"
"django-cms/django-cms","django-cms","10635","17.2","12 anos ou mais","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","5","244","75.8889018210971","121","61","76.2736952058753","0.507048297635556","Co-autoria detectada no commit 5029398: 'copilot'; Co-autoria detectada no commit 7a359ee: 'claude'"
"wandb/wandb","wandb","11042","9.1","8 a 11,9 anos","5","Medio (4-6)","Menos de 15 mil","True","True","False","True","307","945","69.8494420102151","678","268","71.0529560042197","1.72301160806504","Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit a54e5f8: 'claude'"
"triton-inference-server/server","triton-inference-server","10635","7.6","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","268","595","64.266102241963","110","170","75.4831934262464","17.4541333501927","Co-autoria detectada no commit bf2bd08: 'copilot'"
"rq/rq","rq","10625","14.5","12 anos ou mais","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","33","217","64.1245626917847","47","25","60.3440081281423","-5.8956418647464","Co-autoria detectada no commit 8017ad8: 'claude'"
"nodejs/node-gyp","nodejs","10609","14.3","12 anos ou mais","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","22","270","50.5462052933971","39","41","50.6804993207602","0.265685676270986","Co-autoria detectada no commit 7bf371c: 'copilot'"
"Chia-Network/chia-blockchain","Chia-Network","10847","6.8","Menos de 8 anos","2","Baixo (2-3)","Menos de 15 mil","True","False","False","False","758","2160","61.8978237214508","462","20","56.4948245422144","-8.72890007175489","Arquivo detectado: .cursor"
"ultralytics/yolov3","ultralytics","10566","7.7","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","6","1047","52.0058211525146","24","2","55.2139005120111","6.16869282784404","Co-autoria detectada no commit 33924cc: 'copilot'"
"facebookresearch/hydra","facebookresearch","10349","6.9","Menos de 8 anos","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","64","247","77.2071428623893","6","44","77.304123636952","0.125611142916631","Co-autoria detectada no commit bb680e5: 'copilot'; Co-autoria detectada no commit b27ccfa: 'claude'"
"fossasia/visdom","fossasia","10257","9.3","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","27","100","52.8130869820839","25","113","63.6687863697137","20.5549419811654","Co-autoria detectada no commit e50f5e6: 'copilot'"
"vega/altair","vega","10368","10.6","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","54","327","70.9173399105409","61","52","54.3384084149543","-23.3778248260583","Co-autoria detectada no commit 60714c6: 'claude'"
"modin-project/modin","modin-project","10385","7.9","Menos de 8 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","True","False","230","954","76.8413953429592","1","9","74.823657661088","-2.62584727003666","Co-autoria detectada no commit a247e27: 'copilot'"
"Netflix/metaflow","Netflix","10078","6.6","Menos de 8 anos","6","Medio (4-6)","Menos de 15 mil","False","True","True","True","147","169","62.0700939553684","120","190","58.8187401831806","-5.23819695605053","Co-autoria detectada no commit 4ab2fc0: 'claude'; Co-autoria detectada no commit afe7821: 'copilot'"
"yzhao062/pyod","yzhao062","9834","8.6","8 a 11,9 anos","3","Baixo (2-3)","Menos de 15 mil","False","True","False","True","125","62","69.1660006675069","109","11","62.5250379371938","-9.60148435101426","Co-autoria detectada no commit 2255af6: 'claude'"
"pycaret/pycaret","pycaret","9769","6.4","Menos de 8 anos","5","Medio (4-6)","Menos de 15 mil","True","True","False","True","642","1229","53.6102033457751","114","388","63.4993099460544","18.4463142892717","Arquivo detectado: .claude; Co-autoria detectada no commit b152756: 'claude'"
